	X1	X2	Z	Y	p	p_pred
1	-0.122459985	0.568303233	1	2.766009361	0.617899096	0.911059762
2	0.552456628	0.952043225	0	2.985286315	0.775828231	0.847632595
3	0.348649502	1.244208625	1	4.014060321	0.798341659	0.852517966
4	0.359632244	0.799538695	1	1.788870323	0.734075801	0.873463754
8	0.915566371	1.378460696	1	4.949848532	0.840639093	0.758894947
9	0.013771938	0.730565436	0	2.960760888	0.676844237	0.900157133
10	1.729963163	0.055444047	1	4.13377195	0.850362768	0.846911625
11	-1.082204854	3.489664266	1	4.145725096	0.986556504	0.971879641
12	-0.27282518	0.705878886	1	0.313748365	0.629330208	0.916802821
13	0.181995399	-0.664501682	1	-0.456954907	0.39602914	0.928392037
14	1.508541787	0.061933449	1	3.269372432	0.821091586	0.857052509
17	1.623310206	1.454886806	1	8.565151537	0.869589116	0.594560048
19	1.481122471	-1.21026135	1	-2.936833595	0.762626539	0.951058849
20	1.513318287	0.416862542	0	2.125903636	0.834070921	0.811386184
23	-1.101124639	-0.117201701	1	0.985781012	0.217064941	0.941461494
24	1.208115253	0.014887878	1	2.70776246	0.771007702	0.875077766
26	0.105378334	-0.214922579	1	0.043054932	0.475464683	0.918987482
29	-0.09370004	1.211411657	1	5.120199656	0.763951367	0.897175435
30	1.100668628	-1.243454847	1	-1.451967021	0.632168182	0.949220626
31	-1.963825109	-0.383005031	1	-3.968555634	0.061635088	0.947295391
33	1.01944342	-0.514234809	1	3.176268287	0.682942009	0.916358992
39	-0.087071118	0.142951839	1	1.476045006	0.515521064	0.916861
40	0.504736443	0.20547589	1	2.818711541	0.658891158	0.892464436
42	1.760213732	0.332441335	1	4.962326861	0.858157598	0.803925281
43	-0.345116463	-0.195495489	1	-0.866331089	0.360234543	0.927489511
44	2.120000157	0.94989576	0	5.736870102	0.887255254	0.619461177
47	1.475515213	2.469061454	1	11.12219314	0.893119385	0.402603833
48	-0.725557209	0.83830615	1	-1.66850661	0.602733661	0.937831707
50	0.691964109	0.848407718	1	5.446856837	0.776752021	0.840965596
51	-0.500290797	1.650894345	1	3.223705989	0.826864623	0.92507268
53	0.043741327	0.813999722	0	1.267372114	0.698452229	0.896115336
54	-0.368818087	1.052358043	1	3.638080602	0.706325526	0.91907248
56	0.103766308	0.437803666	0	2.632031504	0.626880067	0.902690791
57	0.427289135	1.114081032	1	4.501181476	0.786398714	0.85085603
58	-0.170481539	-0.247016571	1	0.1238922	0.392085578	0.924809068
63	0.391933256	0.451409095	1	1.48863541	0.680241364	0.887001766
65	0.231417608	0.951201486	1	3.475875791	0.745082827	0.877467984
70	-1.05587861	0.654785552	1	-0.012510638	0.486152035	0.948805552
71	-0.348231758	1.076228131	1	4.817726962	0.71410079	0.917594981
72	-0.042989974	0.822315812	1	2.663957935	0.689332709	0.901643177
73	-1.397553956	0.574416213	1	-1.182215801	0.396098325	0.957502711
74	1.49021633	-1.129822152	1	-1.947173159	0.768921941	0.947573152
75	-1.039387121	0.999269622	1	1.397832416	0.617558119	0.951473787
78	-1.39254259	2.315626914	1	-0.126238127	0.926585773	0.976387439
79	0.98200525	-0.315714169	1	1.21476454	0.69451383	0.905590249
80	0.360940935	0.289788542	1	1.64662369	0.645297308	0.895315422
82	-0.643387595	1.528177963	1	1.205499475	0.798411516	0.935071762
84	0.633288995	-0.628322287	1	0.203458678	0.550804443	0.924810961
85	-0.144914149	0.076889393	1	1.39830536	0.484391679	0.919710932
86	-1.240027103	0.376639156	1	-0.62589785	0.347540794	0.950795837
87	0.533959323	2.088968828	1	6.584354788	0.887476101	0.762052673
89	-0.990964533	0.303983536	1	0.282802728	0.369034152	0.943545177
90	0.483260833	-0.638426279	1	-0.130990903	0.49977444	0.926065983
91	0.810618372	1.118339963	1	5.495504212	0.813919922	0.803793248
92	-0.293664566	-0.080373525	1	0.900628295	0.404719252	0.925459725
93	-0.053458319	0.41552434	1	3.198058071	0.592225376	0.910577855
94	0.735184496	-0.61673127	1	-0.375371456	0.585443125	0.923698452
95	0.014984994	1.707565814	1	2.99297399	0.846804747	0.873755135
96	-0.12200185	-1.070699419	1	-0.782904037	0.221315801	0.93520668
98	-0.867858327	2.40857116	1	2.112515286	0.929946127	0.952830635
102	0.450339981	-1.116796974	1	1.084405523	0.397716738	0.939991516
104	-0.486721467	1.204334644	1	3.669676196	0.733157302	0.925549331
107	-0.126531685	0.829717092	1	3.038728943	0.680414681	0.906779896
109	-0.570813328	-0.623783896	1	-0.924109028	0.202195375	0.931941312
110	0.591597715	1.448797584	1	5.218910335	0.833667054	0.8061478
112	-0.126799893	0.96912623	1	2.722170046	0.711723394	0.904325312
115	-1.91690445	0.803417909	1	-2.003205555	0.414971952	0.972605749
117	0.47078962	-1.79632358	1	-3.458295705	0.28849828	0.955797613
118	1.414114851	-0.104631974	1	2.072668746	0.799546708	0.878232342
119	0.084298576	0.39693428	1	4.084377499	0.614081716	0.904705908
120	-1.80230354	0.338498725	1	-1.987886066	0.238891565	0.962319909
121	0.753743642	1.16223967	0	2.040304803	0.814265453	0.807350829
125	2.36579841	0.894026957	1	8.802742154	0.900454211	0.590817058
126	0.4847566	-0.222383911	1	0.842971295	0.578415862	0.911273463
128	0.302908405	-0.721155681	1	2.112417099	0.42335269	0.929292081
129	1.015299436	-2.191166107	1	-4.72822523	0.484124884	0.973039377
130	2.453592927	-0.652211269	1	1.408872463	0.930958835	0.915241824
132	0.541519339	-0.231029742	1	2.956757489	0.592194102	0.910390055
135	0.512583538	0.597691366	1	2.702188745	0.722539103	0.872224376
137	0.35619801	1.731967526	1	6.958926411	0.855660293	0.823851651
138	-0.331570871	1.100555905	1	2.037184492	0.721404917	0.916312031
139	0.080591138	-0.184908235	1	0.941887665	0.475802389	0.918820657
142	0.741308808	0.820122511	0	2.209065568	0.778586706	0.838295802
145	0.446261997	0.650480207	1	2.657273037	0.721436818	0.874159034
146	-1.288829462	0.291289453	1	-0.710969807	0.30792698	0.950793505
148	0.347815602	0.480437672	1	4.779853021	0.67802307	0.888282049
149	-0.059622468	0.246323815	1	2.531163499	0.548359495	0.914054562
150	1.476728779	1.492695188	1	8.293136574	0.866142193	0.621502534
156	-0.693305371	1.722393529	1	1.747321193	0.835642987	0.938627516
161	0.827796462	1.016867122	1	5.364039823	0.805930956	0.811400992
162	0.355419679	0.673548642	1	3.912107569	0.712851189	0.879515817
164	0.955395189	0.398703131	1	3.176005177	0.761993274	0.855473163
165	-0.339642292	1.755917443	1	1.747895433	0.847414786	0.910987695
166	-0.727381467	1.753044765	1	2.361305885	0.84067104	0.940897115
168	1.954138386	0.445919853	1	6.234299331	0.877004428	0.765671427
169	2.666737898	-2.032061056	1	-3.25359574	0.965913206	0.98722372
170	2.063379423	-0.742097201	1	0.480939894	0.889623027	0.925218502
172	-0.079650109	-0.222455817	1	0.305423586	0.422879152	0.922770093
173	-0.489449434	0.361701057	1	2.189965082	0.490193461	0.928422001
174	0.847718746	0.798801764	1	4.06944379	0.787168389	0.829454811
176	0.928687342	0.369425053	1	3.929124905	0.755205758	0.85964512
178	1.494603788	0.869309148	1	5.997243325	0.847390152	0.741209797
179	-0.467704372	1.468683982	1	2.874087318	0.793218259	0.923304369
183	0.27428466	1.443995763	1	3.035354486	0.82057492	0.851417056
184	0.945342551	0.284501764	0	0.011844433	0.749391297	0.865444235
185	0.72618908	2.814326564	0	8.638781977	0.925438889	0.620960903
187	1.485180168	0.001892937	0	0.678970721	0.815427087	0.864749008
188	0.230286163	1.734400303	1	4.37148658	0.853832557	0.843429305
189	0.278002647	-0.339954872	1	0.396905407	0.496325554	0.91909021
190	0.147040753	0.587805526	1	1.67024808	0.666329563	0.896051489
193	1.219269776	-0.724083644	1	-0.465170925	0.718414948	0.926490313
194	-0.561492566	1.347392682	1	3.506436979	0.762090616	0.929893487
195	0.336881758	0.515590942	0	1.999996847	0.682573975	0.887470464
198	0.514865477	1.460628011	1	4.51585218	0.831945698	0.817044671
199	-0.238855223	1.117664834	1	2.542686774	0.733467999	0.909837702
200	0.581818573	-0.228374994	1	1.626845716	0.603454531	0.909403937
201	0.270195271	-0.959838062	1	-1.902900566	0.363554184	0.935152778
203	-0.848888935	0.676032869	1	1.921897345	0.528489694	0.941938277
204	-0.407607931	1.042625786	1	1.721498038	0.700044364	0.921493342
208	0.438599459	-0.279412883	1	1.617144499	0.554893283	0.914329867
210	-0.64591074	-1.263106341	1	-2.033569133	0.08972935	0.931503375
211	1.34414679	2.15781652	1	10.81517654	0.886124553	0.515661441
212	0.334601475	0.516251812	1	2.78278587	0.682326461	0.887578419
